System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211216_132141.9614;53.6132;0;0;0.267946;0;0;
20211216_132141.9795;71.6619;0;0;0.267946;0;0;
20211216_132142.0146;106.755;0;0;0.267946;0;0;
20211216_132142.0381;130.3183;0;0;0.267946;0;0;
20211216_132142.1053;197.4967;0;0;0.267946;0;0;
20211216_132142.1369;229.0806;0;0;0.267946;0;0;
20211216_132142.1630;255.1499;0;0;0.267946;0;0;
20211216_132142.1976;289.7417;0;0;0.267946;0;0;
20211216_132142.2296;321.8273;0;0;0.267946;0;0;
20211216_132142.2567;348.9002;0;0;0.267946;0;0;
20211216_132142.3053;397.5279;0;0;0.267946;0;0;
20211216_132142.3244;416.5783;0;0;0.267946;0;0;
20211216_132142.3575;449.6665;0;0;0.267946;0;0;
20211216_132142.3856;477.7408;0;0;0.267946;0;0;
20211216_132142.4187;510.8614;0;0;0.267946;0;0;
20211216_132142.4517;543.9171;0;0;0.2670125;0;0;
20211216_132142.5069;599.0639;0;0;0.2670125;0;0;
20211216_132142.5249;617.1116;0;0;0.2670125;0;0;
20211216_132142.5435;635.6613;0;0;0.2670125;0;0;
20211216_132142.5756;667.7497;0;0;0.2670125;0;0;
20211216_132142.6041;696.3224;0;0;0.2670125;0;0;
20211216_132142.6327;724.8336;0;0;0.2670125;0;0;
20211216_132142.6547;746.8926;0;0;0.2670125;0;0;
20211216_132142.7134;805.548;0;0;0.2670125;0;0;
20211216_132142.7460;838.1654;0;0;0.2670125;0;0;
20211216_132142.7740;866.211;0;0;0.2670125;0;0;
20211216_132142.7926;884.7584;0;0;0.2670125;0;0;
20211216_132142.8227;914.8387;0;0;0.2670125;0;0;
20211216_132142.8542;946.4243;0;0;0.2670125;0;0;
20211216_132142.9277;1019.8789;0;0;0.2679461;0;0;
20211216_132142.9523;1044.4771;0;0;0.2679461;0;0;
20211216_132142.9832;1075.3745;0;0;0.2679461;0;0;
20211216_132143.0136;1105.757;0;0;0.2679461;0;0;
20211216_132143.0447;1136.8446;0;0;0.2679461;0;0;
20211216_132143.0700;1162.1937;0;0;0.2679461;0;0;
20211216_132143.1223;1214.4845;0;0;0.2679461;0;0;
20211216_132143.1494;1241.5563;0;0;0.2679461;0;0;
20211216_132143.1695;1261.6612;0;0;0.2679461;0;0;
20211216_132143.2026;1294.8197;0;0;0.2679461;0;0;
20211216_132143.2327;1324.87;0;0;0.2679461;0;0;
20211216_132143.2613;1353.4457;0;0;0.2679461;0;0;
20211216_132143.3149;1407.122;0;0;0.2679461;0;0;
20211216_132143.3380;1430.1515;0;0;0.2679461;0;0;
20211216_132143.3711;1463.2379;0;0;0.2679461;0;0;
20211216_132143.3911;1483.3127;0;0;0.2679461;0;0;
20211216_132143.4177;1509.8899;0;0;0.2679461;0;0;
20211216_132143.4513;1543.4519;0;0;0.2670125;0;0;
20211216_132143.4788;1571.0241;0;0;0.2670125;0;0;
20211216_132143.5250;1617.1471;0;0;0.2670125;0;0;
20211216_132143.5460;1638.2029;0;0;0.2670125;0;0;
20211216_132143.5726;1664.7746;0;0;0.2670125;0;0;
20211216_132143.5896;1681.8198;0;0;0.2670125;0;0;
20211216_132143.6197;1711.9104;0;0;0.2670125;0;0;
20211216_132143.6398;1731.9627;0;0;0.2670125;0;0;
20211216_132143.6689;1761.0408;0;0;0.2670125;0;0;
20211216_132143.7331;1825.249;0;0;0.2670125;0;0;
20211216_132143.7617;1853.8548;0;0;0.2670125;0;0;
20211216_132143.7887;1880.928;0;0;0.2670125;0;0;
20211216_132143.8258;1917.9964;0;0;0.2670125;0;0;
20211216_132143.8549;1947.0739;0;0;0.2670125;0;0;
20211216_132143.8910;1983.2003;0;0;0.2670125;0;0;
20211216_132143.9336;2025.7826;0;0;0.2670125;0;0;
20211216_132143.9637;2055.8626;0;0;0.2670125;0;0;
20211216_132143.9818;2073.9386;0;0;0.2670125;0;0;
20211216_132144.0108;2103.0137;0;0;0.2670125;0;0;
20211216_132144.0444;2136.5776;0;0;0.2670125;0;0;
20211216_132144.0765;2168.6636;0;0;0.2670125;0;0;
20211216_132144.1321;2224.3108;0;0;0.2670125;0;0;
20211216_132144.1492;2241.3556;0;0;0.2670125;0;0;
20211216_132144.1697;2262.4139;0;0;0.2670125;0;0;
20211216_132144.2028;2294.9979;0;0;0.2670125;0;0;
20211216_132144.2299;2322.0707;0;0;0.2670125;0;0;
20211216_132144.2650;2357.1888;0;0;0.2670125;0;0;
20211216_132144.2951;2387.2438;0;0;0.2670125;0;0;
20211216_132144.3412;2433.8679;0;0;0.2670125;0;0;
20211216_132144.3698;2461.9709;0;0;0.2670125;0;0;
20211216_132144.3998;2492.0222;0;0;0.2670125;0;0;
20211216_132144.4184;2510.5726;0;0;0.2670125;0;0;
20211216_132144.4500;2542.1551;0;0;0.2679461;0;0;
20211216_132144.4821;2574.2729;0;0;0.2679461;0;0;
20211216_132144.5407;2632.9088;0;0;0.2679461;0;0;
20211216_132144.5728;2665.0064;0;0;0.2679461;0;0;
20211216_132144.6029;2695.098;0;0;0.2679461;0;0;
20211216_132144.6380;2730.2178;0;0;0.2679461;0;0;
20211216_132144.6700;2762.158;0;0;0.2679461;0;0;
20211216_132144.7026;2794.7724;0;0;0.2679461;0;0;
20211216_132144.7452;2837.3571;0;0;0.2679461;0;0;
20211216_132144.7639;2856.054;0;0;0.2679461;0;0;
20211216_132144.7889;2881.0928;0;0;0.2679461;0;0;
20211216_132144.8060;2898.139;0;0;0.2679461;0;0;
20211216_132144.8250;2917.1953;0;0;0.2679461;0;0;
20211216_132144.8572;2949.3844;0;0;0.2679461;0;0;
20211216_132144.8867;2978.9213;0;0;0.2679461;0;0;
20211216_132144.9468;3039.0294;0;0;0.2679461;0;0;
20211216_132144.9811;3073.2351;0;0;0.2679461;0;0;
20211216_132145.0106;3102.786;0;0;0.2679461;0;0;
20211216_132145.0450;3137.2012;0;0;0.2679461;0;0;
20211216_132145.0741;3166.2845;0;0;0.2679461;0;0;
20211216_132145.1047;3196.8383;0;0;0.2679461;0;0;
20211216_132145.1489;3241.0696;0;0;0.2679461;0;0;
20211216_132145.1699;3262.1326;0;0;0.2679461;0;0;
20211216_132145.1991;3291.2401;0;0;0.2679461;0;0;
20211216_132145.2301;3322.3253;0;0;0.2679461;0;0;
20211216_132145.2577;3349.8986;0;0;0.2679461;0;0;
20211216_132145.2748;3366.9447;0;0;0.2679461;0;0;
20211216_132145.2928;3384.9938;0;0;0.2679461;0;0;
20211216_132145.3500;3442.1435;0;0;0.2679461;0;0;
20211216_132145.3705;3462.6986;0;0;0.2679461;0;0;
20211216_132145.3906;3482.7519;0;0;0.2679461;0;0;
