System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211216_131458.7329;34.5617;0;0;0.000622411;0;0;
20211216_131458.7615;63.1375;0;0;0.000622411;0;0;
20211216_131458.7880;89.7075;0;0;0.000622411;0;0;
20211216_131458.8051;106.754;0;0;0.000622411;0;0;
20211216_131458.8231;124.801;0;0;0.000622411;0;0;
20211216_131458.8502;151.8728;0;0;0.000622411;0;0;
20211216_131458.9129;214.5395;0;0;0.000622411;0;0;
20211216_131458.9304;232.0861;0;0;0.000622411;0;0;
20211216_131458.9635;265.1739;0;0;0.000622411;0;0;
20211216_131458.9936;295.2539;0;0;0.0006224113;0;0;
20211216_131459.0106;312.2994;0;0;0.0006224113;0;0;
20211216_131459.0427;344.3854;0;0;0.0006224113;0;0;
20211216_131459.1004;402.039;0;0;0.0006224113;0;0;
20211216_131459.1370;438.6357;0;0;0.0006224113;0;0;
20211216_131459.1640;465.7075;0;0;0.0006224113;0;0;
20211216_131459.1946;496.2889;0;0;0.0006224113;0;0;
20211216_131459.2267;528.3742;0;0;0.0006224113;0;0;
20211216_131459.2583;559.9581;0;0;0.0006224113;0;0;
20211216_131459.3080;609.6364;0;0;0.0006224113;0;0;
20211216_131459.3376;639.215;0;0;0.0006224113;0;0;
20211216_131459.3548;656.4465;0;0;0.0006224113;0;0;
20211216_131459.3865;688.1226;0;0;0.0006224113;0;0;
20211216_131459.4186;720.2079;0;0;0.0006224113;0;0;
20211216_131459.4486;750.2872;0;0;0.0006224113;0;0;
20211216_131459.5028;804.4557;0;0;0.0006224113;0;0;
20211216_131459.5249;826.5144;0;0;0.0006224113;0;0;
20211216_131459.5544;856.093;0;0;0.0006224113;0;0;
20211216_131459.5870;888.6797;0;0;0.0006224113;0;0;
20211216_131459.6181;919.7775;0;0;0.0006224113;0;0;
20211216_131459.6387;940.3319;0;0;0.0006224113;0;0;
20211216_131459.6667;968.4066;0;0;0.0006224113;0;0;
20211216_131459.7154;1017.5377;0;0;0.0006224113;0;0;
20211216_131459.7435;1045.1113;0;0;0.0006224113;0;0;
20211216_131459.7635;1065.1933;0;0;0.0006224113;0;0;
20211216_131459.7887;1090.3758;0;0;0.0006224113;0;0;
20211216_131459.8228;1124.4665;0;0;0.0006224113;0;0;
20211216_131459.8549;1156.5515;0;0;0.0006224113;0;0;
20211216_131459.9176;1219.2342;0;0;0.0006224113;0;0;
20211216_131459.9501;1251.8049;0;0;0.0006224113;0;0;
