System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211215_154407.1045;33.0886;0;0;0.00248963;0;0;
20211215_154407.1221;50.6345;0;0;0.00248963;0;0;
20211215_154407.1492;77.706;0;0;0.00248963;0;0;
20211215_154407.1698;98.2956;0;0;0.00248963;0;0;
20211215_154407.2003;128.8419;0;0;0.00248963;0;0;
20211215_154407.2264;154.9127;0;0;0.00248963;0;0;
20211215_154407.2745;203.0718;0;0;0.00248963;0;0;
20211215_154407.3061;234.6251;0;0;0.00248963;0;0;
20211215_154407.3417;270.2187;0;0;0.00248963;0;0;
20211215_154407.3683;296.8178;0;0;0.00248963;0;0;
20211215_154407.3888;317.3446;0;0;0.00248963;0;0;
20211215_154407.4189;347.425;0;0;0.00248963;0;0;
20211215_154407.4781;406.6095;0;0;0.00248963;0;0;
20211215_154407.5115;440.079;0;0;0.00248963;0;0;
20211215_154407.5381;466.6491;0;0;0.00248963;0;0;
20211215_154407.5556;484.1125;0;0;0.00248963;0;0;
20211215_154407.5877;516.2289;0;0;0.00248963;0;0;
20211215_154407.6069;535.417;0;0;0.00248963;0;0;
20211215_154407.6319;560.4832;0;0;0.001556009;0;0;
20211215_154407.6791;607.6084;0;0;0.001556009;0;0;
20211215_154407.7117;640.1959;0;0;0.001556009;0;0;
20211215_154407.7302;658.745;0;0;0.001556009;0;0;
20211215_154407.7503;678.798;0;0;0.001556009;0;0;
20211215_154407.7758;704.3663;0;0;0.001556009;0;0;
20211215_154407.7939;722.414;0;0;0.001556009;0;0;
20211215_154407.8240;752.5087;0;0;0.001556009;0;0;
20211215_154407.8836;812.1872;0;0;0.001556009;0;0;
20211215_154407.9012;829.7335;0;0;0.001556009;0;0;
20211215_154407.9338;862.3203;0;0;0.001556009;0;0;
20211215_154407.9624;890.9193;0;0;0.001556009;0;0;
20211215_154407.9940;922.5176;0;0;0.001556009;0;0;
20211215_154408.0140;942.5706;0;0;0.001556009;0;0;
20211215_154408.0431;971.6618;0;0;0.001556009;0;0;
20211215_154408.1013;1029.8879;0;0;0.001556009;0;0;
20211215_154408.1259;1054.4499;0;0;0.002489626;0;0;
20211215_154408.1484;1076.9469;0;0;0.002489626;0;0;
20211215_154408.1694;1097.9666;0;0;0.002489626;0;0;
20211215_154408.1985;1127.0475;0;0;0.002489626;0;0;
20211215_154408.2307;1159.2838;0;0;0.002489626;0;0;
20211215_154408.2899;1218.412;0;0;0.002489626;0;0;
20211215_154408.3260;1254.5364;0;0;0.002489626;0;0;
20211215_154408.3561;1284.6168;0;0;0.002489626;0;0;
20211215_154408.3871;1315.6703;0;0;0.002489626;0;0;
20211215_154408.4047;1333.2176;0;0;0.002489626;0;0;
20211215_154408.4348;1363.3219;0;0;0.002489626;0;0;
20211215_154408.4909;1419.4468;0;0;0.002489626;0;0;
20211215_154408.5240;1452.535;0;0;0.002489626;0;0;
