System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211215_153319.1562;36.5979;0;0;0.2981328;0;0;
20211215_153319.1787;59.1576;0;0;0.2981328;0;0;
20211215_153319.1968;77.206;0;0;0.2981328;0;0;
20211215_153319.2168;97.259;0;0;0.2981328;0;0;
20211215_153319.2459;126.3373;0;0;0.2981328;0;0;
20211215_153319.3091;189.5048;0;0;0.2981328;0;0;
20211215_153319.3281;208.5554;0;0;0.2981328;0;0;
20211215_153319.3517;232.1176;0;0;0.2981328;0;0;
20211215_153319.3712;251.6699;0;0;0.2981328;0;0;
20211215_153319.4033;283.7553;0;0;0.2981328;0;0;
20211215_153319.4359;316.3421;0;0;0.2981328;0;0;
20211215_153319.4660;346.4297;0;0;0.2981328;0;0;
20211215_153319.5161;396.5641;0;0;0.2981328;0;0;
20211215_153319.5382;418.6225;0;0;0.2981328;0;0;
20211215_153319.5588;439.1766;0;0;0.2981328;0;0;
20211215_153319.5876;468.0056;0;0;0.2981328;0;0;
20211215_153319.6077;488.116;0;0;0.2981328;0;0;
20211215_153319.6328;513.2109;0;0;0.2981328;0;0;
20211215_153319.6528;533.2642;0;0;0.2981328;0;0;
20211215_153319.7150;595.401;0;0;0.2981328;0;0;
20211215_153319.7481;628.5401;0;0;0.2981328;0;0;
20211215_153319.7782;658.6201;0;0;0.2981328;0;0;
20211215_153319.8053;685.693;0;0;0.2981328;0;0;
20211215_153319.8409;721.2866;0;0;0.2981328;0;0;
20211215_153319.8732;753.6212;0;0;0.2981328;0;0;
20211215_153319.9108;791.2198;0;0;0.2981328;0;0;
20211215_153319.9316;812.0002;0;0;0.2981328;0;0;
20211215_153319.9516;832.0532;0;0;0.2981328;0;0;
20211215_153319.9787;859.1688;0;0;0.2981328;0;0;
20211215_153319.9973;877.7175;0;0;0.2981328;0;0;
20211215_153320.0259;906.2933;0;0;0.2981328;0;0;
20211215_153320.0580;938.3787;0;0;0.2981328;0;0;
20211215_153320.0780;958.4327;0;0;0.2981328;0;0;
20211215_153320.1161;996.5338;0;0;0.2981328;0;0;
20211215_153320.1342;1014.5818;0;0;0.2981328;0;0;
20211215_153320.1522;1032.6411;0;0;0.2981328;0;0;
20211215_153320.1848;1065.2276;0;0;0.2981328;0;0;
20211215_153320.2149;1095.3076;0;0;0.2981328;0;0;
20211215_153320.2413;1121.691;0;0;0.2981328;0;0;
20211215_153320.2595;1139.8906;0;0;0.2981328;0;0;
20211215_153320.2795;1159.9433;0;0;0.2981328;0;0;
20211215_153320.3227;1203.0903;0;0;0.2981328;0;0;
20211215_153320.3397;1220.1358;0;0;0.2981328;0;0;
20211215_153320.3658;1246.2082;0;0;0.2990664;0;0;
20211215_153320.3858;1266.2585;0;0;0.2990664;0;0;
20211215_153320.4059;1286.3116;0;0;0.2990664;0;0;
20211215_153320.4300;1310.3759;0;0;0.2990664;0;0;
20211215_153320.4630;1343.4642;0;0;0.2990664;0;0;
20211215_153320.4811;1361.5122;0;0;0.2990664;0;0;
20211215_153320.5257;1406.1307;0;0;0.2990664;0;0;
20211215_153320.5428;1423.1762;0;0;0.2990664;0;0;
20211215_153320.5713;1451.7534;0;0;0.2990664;0;0;
20211215_153320.5889;1469.2986;0;0;0.2990664;0;0;
20211215_153320.6221;1502.5684;0;0;0.2990664;0;0;
20211215_153320.6510;1531.4401;0;0;0.2990664;0;0;
20211215_153320.6816;1562.0537;0;0;0.2990664;0;0;
20211215_153320.7283;1608.6734;0;0;0.2990664;0;0;
20211215_153320.7574;1637.8376;0;0;0.2990664;0;0;
20211215_153320.7780;1658.3931;0;0;0.2990664;0;0;
20211215_153320.8086;1688.9736;0;0;0.2990664;0;0;
20211215_153320.8287;1709.0747;0;0;0.2990664;0;0;
20211215_153320.8532;1733.6398;0;0;0.2981328;0;0;
20211215_153320.8723;1752.691;0;0;0.2981328;0;0;
20211215_153320.9440;1824.3821;0;0;0.2981328;0;0;
20211215_153320.9635;1843.9333;0;0;0.2981328;0;0;
20211215_153320.9956;1876.019;0;0;0.2981328;0;0;
20211215_153321.0257;1906.0998;0;0;0.2981328;0;0;
20211215_153321.0563;1936.6806;0;0;0.2981328;0;0;
20211215_153321.0914;1971.7748;0;0;0.2981328;0;0;
20211215_153321.1365;2016.894;0;0;0.2981328;0;0;
20211215_153321.1652;2045.5903;0;0;0.2981328;0;0;
20211215_153321.1838;2064.1957;0;0;0.2981328;0;0;
20211215_153321.2038;2084.2487;0;0;0.2981328;0;0;
20211215_153321.2285;2108.9036;0;0;0.2981328;0;0;
20211215_153321.2478;2128.2399;0;0;0.2981328;0;0;
20211215_153321.2790;2159.403;0;0;0.2981328;0;0;
20211215_153321.3351;2215.5524;0;0;0.2981328;0;0;
