System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211215_192708.9548;50.6341;0;0;0.299066;0;0;
20211215_192708.9774;73.1942;0;0;0.299066;0;0;
20211215_192709.0110;106.7831;0;0;0.299066;0;0;
20211215_192709.0400;135.8603;0;0;0.299066;0;0;
20211215_192709.1062;202.0462;0;0;0.2990664;0;0;
20211215_192709.1318;227.6134;0;0;0.2990664;0;0;
20211215_192709.1659;261.7044;0;0;0.2990664;0;0;
20211215_192709.1995;295.2954;0;0;0.2990664;0;0;
20211215_192709.2311;326.879;0;0;0.2990664;0;0;
20211215_192709.2637;359.4647;0;0;0.2990664;0;0;
20211215_192709.3068;402.5795;0;0;0.2990664;0;0;
20211215_192709.3268;422.6336;0;0;0.2990664;0;0;
20211215_192709.3549;450.7072;0;0;0.2990664;0;0;
20211215_192709.3910;486.8032;0;0;0.2990664;0;0;
20211215_192709.4161;511.8707;0;0;0.2990664;0;0;
20211215_192709.4464;542.1968;0;0;0.2990664;0;0;
20211215_192709.5067;602.5418;0;0;0.2990664;0;0;
20211215_192709.5243;620.0888;0;0;0.2990664;0;0;
20211215_192709.5555;651.2843;0;0;0.2990664;0;0;
20211215_192709.5899;685.6866;0;0;0.2990664;0;0;
20211215_192709.6178;713.6421;0;0;0.2990664;0;0;
20211215_192709.6379;733.6951;0;0;0.2990664;0;0;
20211215_192709.6671;762.8979;0;0;0.2990664;0;0;
20211215_192709.7108;806.566;0;0;0.2990664;0;0;
20211215_192709.7283;824.113;0;0;0.2990664;0;0;
20211215_192709.7584;854.1933;0;0;0.2990664;0;0;
20211215_192709.7918;887.6006;0;0;0.2990664;0;0;
20211215_192709.8270;922.7754;0;0;0.2990664;0;0;
20211215_192709.8550;950.8494;0;0;0.2990664;0;0;
20211215_192709.9133;1009.1464;0;0;0.2990664;0;0;
20211215_192709.9494;1045.2086;0;0;0.2990664;0;0;
20211215_192709.9792;1074.9766;0;0;0.2990664;0;0;
20211215_192710.0115;1107.3217;0;0;0.2990664;0;0;
20211215_192710.0426;1138.4035;0;0;0.2990664;0;0;
20211215_192710.0698;1165.5668;0;0;0.2990664;0;0;
20211215_192710.1202;1216.0572;0;0;0.2990664;0;0;
20211215_192710.1388;1234.5749;0;0;0.2990664;0;0;
20211215_192710.1649;1260.6719;0;0;0.2990664;0;0;
20211215_192710.2000;1295.8152;0;0;0.2990664;0;0;
20211215_192710.2276;1323.3895;0;0;0.2990664;0;0;
