System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211220_160231.4776;36.5981;0;0;0;0;0;
20211220_160231.4947;53.6399;0;0;0;0;0;
20211220_160231.5147;73.6925;0;0;0;0;0;
20211220_160231.5448;103.7729;0;0;0;0;0;
20211220_160231.5719;130.845;0;0;0;0;0;
20211220_160231.6330;192.0075;0;0;0;0;0;
20211220_160231.6676;226.6003;0;0;0;0;0;
20211220_160231.6987;257.7193;0;0;0;0;0;
20211220_160231.7328;291.7728;0;0;0;0;0;
20211220_160231.7619;320.8834;0;0;0;0;0;
20211220_160231.7830;341.9354;0;0;0;0;0;
20211220_160231.8426;401.5653;0;0;0;0;0;
20211220_160231.8678;426.7858;0;0;0;0;0;
20211220_160231.8986;457.5409;0;0;0;0;0;
20211220_160231.9201;479.0685;0;0;0;0;0;
20211220_160231.9498;508.7552;0;0;0;0;0;
20211220_160231.9703;529.3178;0;0;0;0;0;
20211220_160231.9945;553.529;0;0;0;0;0;
20211220_160232.0467;605.6683;0;0;0;0;0;
20211220_160232.0755;634.4799;0;0;0;0;0;
20211220_160232.1056;664.5623;0;0;0;0;0;
20211220_160232.1362;695.1444;0;0;0;0;0;
20211220_160232.1692;728.2028;0;0;0;0;0;
20211220_160232.1978;756.8093;0;0;0;0;0;
20211220_160232.2374;796.4132;0;0;0;0;0;
20211220_160232.2620;820.9496;0;0;0;0;0;
20211220_160232.2820;841.0333;0;0;0;0;0;
20211220_160232.3066;865.5683;0;0;0;0;0;
20211220_160232.3251;884.1174;0;0;0;0;0;
20211220_160232.3542;913.1952;0;0;0;0;0;
20211220_160232.3868;945.812;0;0;0;0;0;
20211220_160232.4074;966.3367;0;0;0;0;0;
20211220_160232.4490;1007.9477;0;0;0;0;0;
20211220_160232.4796;1038.5407;0;0;0;0;0;
20211220_160232.5096;1068.621;0;0;0;0;0;
20211220_160232.5457;1104.717;0;0;0;0;0;
20211220_160232.5698;1128.7807;0;0;0;0;0;
20211220_160232.6024;1161.3674;0;0;0;0;0;
20211220_160232.6515;1210.5259;0;0;0;0;0;
20211220_160232.6851;1244.0868;0;0;0;0;0;
20211220_160232.7142;1273.1643;0;0;0;0;0;
20211220_160232.7438;1302.7439;0;0;0;0;0;
20211220_160232.7623;1321.2926;0;0;0;0;0;
20211220_160232.7929;1351.9024;0;0;0;0;0;
20211220_160232.8485;1407.5216;0;0;0;0;0;
20211220_160232.8701;1429.0792;0;0;0;0;0;
20211220_160232.8977;1456.6521;0;0;0;0;0;
20211220_160232.9313;1490.7431;0;0;0;0;0;
20211220_160232.9498;1508.7911;0;0;0;0;0;
20211220_160232.9699;1528.8441;0;0;0;0;0;
20211220_160232.9939;1552.9105;0;0;0;0;0;
20211220_160233.0697;1628.6919;0;0;0;0;0;
