System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20220109_153431.8335;15006.7335;0;0;0;0;-9.55414012738853;
20220109_153431.8560;15029.199;0;0;0;0;-9.55414012738853;
20220109_153431.8763;15049.5673;0;0;0;0;-9.55414012738853;
20220109_153431.8982;15071.3891;0;0;0;0;-9.55414012738853;
20220109_153431.9183;15091.566;0;0;0;0;-9.55414012738853;
20220109_153431.9489;15122.0739;0;0;0;0;-9.55414012738853;
20220109_153431.9801;15153.338;0;0;0;0;-9.55414012738853;
20220109_153432.0076;15180.8026;0;0;0;0;-9.55414012738853;
20220109_153432.0262;15199.3821;0;0;0;0;-9.55414012738853;
20220109_153432.0586;15231.8517;0;0;0;0;-9.55414012738853;
20220109_153432.0854;15258.6566;0;0;0;0;-9.55414012738853;
20220109_153432.1034;15276.5909;0;0;0;0;-9.55414012738853;
20220109_153432.1369;15310.0797;0;0;0;0;-9.55414012738853;
20220109_153432.1642;15337.457;0;0;0;0;-9.55414012738853;
20220109_153432.1845;15357.7417;0;0;0;0;-9.55414012738853;
20220109_153432.2111;15384.2718;0;0;0;0;-9.55414012738853;
20220109_153432.2291;15402.3249;0;0;0;0;-9.55414012738853;
20220109_153432.2498;15422.9926;0;0;0;0;-9.55414012738853;
20220109_153432.2794;15452.6667;0;0;0;0;-9.55414012738853;
20220109_153432.3058;15479.022;0;0;0;0;-9.55414012738853;
20220109_153432.3354;15508.6088;0;0;0;0;-9.55414012738853;
20220109_153432.3659;15539.1103;0;0;0;0;-9.55414012738853;
20220109_153432.3849;15558.0908;0;0;0;0;-9.55414012738853;
20220109_153432.4129;15586.1504;0;0;0;0;-9.55414012738853;
20220109_153432.4484;15621.6278;0;0;0;0;-9.55414012738853;
20220109_153432.4850;15658.2061;0;0;0;0;-9.55414012738853;
20220109_153432.5138;15687.0064;0;0;0;0;-9.55414012738853;
20220109_153432.5447;15717.9342;0;0;0;0;-9.55414012738853;
20220109_153432.5768;15750.0222;0;0;0;0;-9.55414012738853;
20220109_153432.6027;15775.9587;0;0;0;0;-9.55414012738853;
20220109_153432.6229;15796.0922;0;0;0;0;-9.55414012738853;
20220109_153432.6491;15822.3039;0;0;0;0;-9.55414012738853;
20220109_153432.6911;15864.3284;0;0;0;0;-9.55414012738853;
20220109_153432.7118;15885.061;0;0;0;0;-9.55414012738853;
20220109_153432.7315;15904.76;0;0;0;0;-9.55414012738853;
20220109_153432.7624;15935.6472;0;0;0;0;-9.55414012738853;
20220109_153432.7932;15966.4163;0;0;0;0;-9.55414012738853;
20220109_153432.8233;15996.5211;0;0;0;0;-9.55414012738853;
20220109_153432.8547;16027.9272;0;0;0;0;-9.55414012738853;
20220109_153432.8974;16070.6327;0;0;0;0;-9.55414012738853;
20220109_153432.9325;16105.6941;0;0;0;0;-9.55414012738853;
20220109_153432.9519;16125.134;0;0;0;0;-9.55414012738853;
20220109_153432.9773;16150.5356;0;0;0;0;-9.55414012738853;
20220109_153433.0125;16185.7434;0;0;0;0;-9.55414012738853;
20220109_153433.0441;16217.3167;0;0;0;0;-9.55414012738853;
20220109_153433.0731;16246.3536;0;0;0;0;-9.55414012738853;
20220109_153433.0927;16265.9061;0;0;0;0;-9.55414012738853;
20220109_153433.1258;16298.97;0;0;0;0;-9.55414012738853;
20220109_153433.1481;16321.3468;0;0;0;0;-9.55414012738853;
20220109_153433.1678;16341.0621;0;0;0;0;-9.55414012738853;
20220109_153433.1992;16372.3729;0;0;0;0;-9.55414012738853;
20220109_153433.2323;16405.4867;0;0;0;0;-9.55414012738853;
20220109_153433.2590;16432.1898;0;0;0;0;-9.55414012738853;
20220109_153433.2955;16468.7373;0;0;0;0;-9.55414012738853;
20220109_153433.3211;16494.3312;0;0;0;0;-9.55414012738853;
