System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20220109_150547.6327;39.1045;0;0;0;0;0;
20220109_150547.6537;60.1611;0;0;0;0;0;
20220109_150547.6818;88.235;0;0;0;0;0;
20220109_150547.6994;105.7983;0;0;0;0;0;
20220109_150547.7174;123.845;0;0;0;0;0;
20220109_150547.7420;148.41;0;0;0;0;0;
20220109_150547.7866;193.0595;0;0;0;0;0;
20220109_150547.8107;217.0928;0;0;0;0;0;
20220109_150547.8403;246.697;0;0;0;0;0;
20220109_150547.8728;279.2578;0;0;0;0;0;
20220109_150547.9009;307.3324;0;0;0;0;0;
20220109_150547.9209;327.3864;0;0;0;0;0;
20220109_150547.9480;354.4586;0;0;0;0;0;
20220109_150547.9966;403.0873;0;0;0;0;0;
20220109_150548.0283;434.6985;0;0;0;0;0;
20220109_150548.0588;465.2533;0;0;0;0;0;
20220109_150548.0914;497.8394;0;0;0;0;0;
20220109_150548.1235;529.9531;0;0;0;0;0;
20220109_150548.1536;560.0054;0;0;0;0;0;
20220109_150548.1937;600.1114;0;0;0;0;0;
20220109_150548.2167;623.1732;0;0;0;0;0;
20220109_150548.2498;656.2611;0;0;0;0;0;
20220109_150548.2789;685.3382;0;0;0;0;0;
20220109_150548.3130;719.4289;0;0;0;0;0;
20220109_150548.3401;746.501;0;0;0;0;0;
20220109_150548.3601;766.566;0;0;0;0;0;
20220109_150548.4138;820.2089;0;0;0;0;0;
20220109_150548.4349;841.293;0;0;0;0;0;
20220109_150548.4649;871.3758;0;0;0;0;0;
20220109_150548.4850;891.426;0;0;0;0;0;
20220109_150548.5095;915.9631;0;0;0;0;0;
20220109_150548.5286;935.0443;0;0;0;0;0;
20220109_150548.5577;964.0904;0;0;0;0;0;
20220109_150548.5968;1003.2209;0;0;0;0;0;
20220109_150548.6223;1028.7628;0;0;0;0;0;
20220109_150548.6524;1058.8735;0;0;0;0;0;
20220109_150548.6880;1094.4657;0;0;0;0;0;
