System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20220109_151150.6241;33.0585;0;0;0;0;0;
20220109_151150.6517;60.632;0;0;0;0;0;
20220109_151150.6718;80.685;0;0;0;0;0;
20220109_151150.6983;107.2558;0;0;0;0;0;
20220109_151150.7169;125.8049;0;0;0;0;0;
20220109_151150.7455;154.3813;0;0;0;0;0;
20220109_151150.7921;201.0054;0;0;0;0;0;
20220109_151150.8091;218.0502;0;0;0;0;0;
20220109_151150.8412;250.1358;0;0;0;0;0;
20220109_151150.8723;281.2187;0;0;0;0;0;
20220109_151150.9044;313.3047;0;0;0;0;0;
20220109_151150.9335;342.3924;0;0;0;0;0;
20220109_151150.9917;400.5925;0;0;0;0;0;
20220109_151151.0087;417.6458;0;0;0;0;0;
20220109_151151.0448;453.7418;0;0;0;0;0;
20220109_151151.0714;480.3132;0;0;0;0;0;
20220109_151151.1085;517.4117;0;0;0;0;0;
20220109_151151.1351;543.9828;0;0;0;0;0;
20220109_151151.1537;562.6183;0;0;0;0;0;
20220109_151151.1983;607.237;0;0;0;0;0;
20220109_151151.2164;625.3126;0;0;0;0;0;
20220109_151151.2425;651.4011;0;0;0;0;0;
20220109_151151.2595;668.4463;0;0;0;0;0;
20220109_151151.2776;686.4939;0;0;0;0;0;
20220109_151151.2976;706.5472;0;0;0;0;0;
20220109_151151.3237;732.6162;0;0;0;0;0;
20220109_151151.3422;751.1656;0;0;0;0;0;
20220109_151151.4024;811.3362;0;0;0;0;0;
20220109_151151.4375;846.427;0;0;0;0;0;
20220109_151151.4646;873.4991;0;0;0;0;0;
20220109_151151.4846;893.5525;0;0;0;0;0;
20220109_151151.5102;919.1327;0;0;0;0;0;
20220109_151151.5398;948.7225;0;0;0;0;0;
20220109_151151.5599;968.7881;0;0;0;0;0;
20220109_151151.6040;1012.9055;0;0;0;0;0;
20220109_151151.6220;1030.9535;0;0;0;0;0;
20220109_151151.6541;1063.0449;0;0;0;0;0;
20220109_151151.6822;1091.1192;0;0;0;0;0;
20220109_151151.7146;1123.5718;0;0;0;0;0;
20220109_151151.7352;1144.1263;0;0;0;0;0;
20220109_151151.7603;1169.1924;0;0;0;0;0;
20220109_151151.8084;1217.3204;0;0;0;0;0;
20220109_151151.8415;1250.4297;0;0;0;0;0;
20220109_151151.8711;1279.9875;0;0;0;0;0;
20220109_151151.9021;1311.0703;0;0;0;0;0;
20220109_151151.9224;1331.2875;0;0;0;0;0;
20220109_151151.9470;1355.885;0;0;0;0;0;
20220109_151151.9640;1372.9301;0;0;0;0;0;
20220109_151152.0227;1431.5852;0;0;0;0;0;
20220109_151152.0593;1468.1833;0;0;0;0;0;
20220109_151152.0913;1500.2683;0;0;0;0;0;
20220109_151152.1224;1531.3514;0;0;0;0;0;
20220109_151152.1545;1563.4364;0;0;0;0;0;
20220109_151152.2117;1620.5879;0;0;0;0;0;
20220109_151152.2287;1637.6338;0;0;0;0;0;
20220109_151152.2491;1658.0602;0;0;0;0;0;
20220109_151152.2782;1687.1373;0;0;0;0;0;
