System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20220109_134131.5068;32.5864;0;0;0.416263;0;0;
20220109_134131.5289;54.645;0;0;0.416263;0;0;
20220109_134131.5609;86.7303;0;0;0.416263;0;0;
20220109_134131.5910;116.8103;0;0;0.416263;0;0;
20220109_134131.6171;142.9032;0;0;0.416263;0;0;
20220109_134131.6703;196.0444;0;0;0.416263;0;0;
20220109_134131.6988;224.6331;0;0;0.416263;0;0;
20220109_134131.7189;244.6854;0;0;0.416263;0;0;
20220109_134131.7480;273.7629;0;0;0.416263;0;0;
20220109_134131.7786;304.344;0;0;0.416263;0;0;
20220109_134131.8106;336.4296;0;0;0.416263;0;0;
20220109_134131.8673;393.0804;0;0;0.416263;0;0;
20220109_134131.8909;416.6426;0;0;0.416263;0;0;
20220109_134131.9156;441.3818;0;0;0.416263;0;0;
20220109_134131.9332;458.9512;0;0;0.416263;0;0;
20220109_134131.9653;491.0809;0;0;0.416263;0;0;
20220109_134131.9934;519.1556;0;0;0.416263;0;0;
20220109_134132.0134;539.2099;0;0;0.416263;0;0;
20220109_134132.0726;598.3661;0;0;0.416263;0;0;
20220109_134132.1032;628.9659;0;0;0.416263;0;0;
20220109_134132.1218;647.5583;0;0;0.416263;0;0;
20220109_134132.1519;677.6772;0;0;0.416263;0;0;
20220109_134132.1852;710.9361;0;0;0.416263;0;0;
20220109_134132.2157;741.5086;0;0;0.416263;0;0;
20220109_134132.2744;800.165;0;0;0.416263;0;0;
20220109_134132.3040;829.7433;0;0;0.416263;0;0;
20220109_134132.3240;849.7993;0;0;0.416263;0;0;
20220109_134132.3441;869.8496;0;0;0.416263;0;0;
20220109_134132.3736;899.4295;0;0;0.416263;0;0;
20220109_134132.4068;932.5457;0;0;0.416263;0;0;
20220109_134132.4363;962.0672;0;0;0.416263;0;0;
20220109_134132.4779;1003.6782;0;0;0.416263;0;0;
20220109_134132.5137;1039.4601;0;0;0.416263;0;0;
20220109_134132.5412;1067.0296;0;0;0.416263;0;0;
20220109_134132.5596;1085.3845;0;0;0.416263;0;0;
20220109_134132.5904;1116.1406;0;0;0.416263;0;0;
20220109_134132.6186;1144.3467;0;0;0.416263;0;0;
20220109_134132.6391;1164.8725;0;0;0.416263;0;0;
20220109_134132.6777;1203.4759;0;0;0.416263;0;0;
20220109_134132.6945;1220.2927;0;0;0.416263;0;0;
20220109_134132.7127;1238.5243;0;0;0.416263;0;0;
20220109_134132.7308;1256.573;0;0;0.416263;0;0;
20220109_134132.7483;1274.1192;0;0;0.416263;0;0;
20220109_134132.7794;1305.1789;0;0;0.416263;0;0;
20220109_134132.8090;1334.7875;0;0;0.416263;0;0;
20220109_134132.8411;1366.9022;0;0;0.416263;0;0;
20220109_134132.8837;1409.5149;0;0;0.416263;0;0;
20220109_134132.9035;1429.3293;0;0;0.416263;0;0;
20220109_134132.9296;1455.4269;0;0;0.416263;0;0;
20220109_134132.9502;1475.9667;0;0;0.416263;0;0;
20220109_134132.9783;1504.1236;0;0;0.416263;0;0;
20220109_134132.9970;1522.7423;0;0;0.416263;0;0;
20220109_134133.0271;1552.8547;0;0;0.416263;0;0;
20220109_134133.0865;1612.3143;0;0;0.4186851;0;0;
20220109_134133.1216;1647.39;0;0;0.4186851;0;0;
