System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20220109_140737.4025;37.5825;0;0;0;0;0;
20220109_140737.4331;68.1721;0;0;0;0;0;
20220109_140737.4622;97.2404;0;0;0;0;0;
20220109_140737.4973;132.3349;0;0;0;0;0;
20220109_140737.5239;158.905;0;0;0;0;0;
20220109_140737.5730;208.0535;0;0;0;0;0;
20220109_140737.6051;240.1399;0;0;0;0;0;
20220109_140737.6247;259.7037;0;0;0;0;0;
20220109_140737.6527;287.7787;0;0;0;0;0;
20220109_140737.6848;319.8637;0;0;0;0;0;
20220109_140737.7139;348.9433;0;0;0;0;0;
20220109_140737.7881;423.1399;0;0;0.00128572;0;0;
20220109_140737.8081;443.1915;0;0;0.00128572;0;0;
20220109_140737.8372;472.269;0;0;0.00128572;0;0;
20220109_140737.8553;490.3174;0;0;0.00128572;0;0;
20220109_140737.8753;510.3717;0;0;0.00128572;0;0;
20220109_140737.9009;535.9383;0;0;0.00128572;0;0;
20220109_140737.9194;554.4877;0;0;0.00128572;0;0;
20220109_140737.9847;619.6998;0;0;0.00128572;0;0;
20220109_140738.0147;649.7818;0;0;0.00128572;0;0;
20220109_140738.0388;673.8731;0;0;0.00128572;0;0;
20220109_140738.0594;694.4012;0;0;0.00128572;0;0;
20220109_140738.0874;722.4732;0;0;0.00128572;0;0;
20220109_140738.1221;757.0963;0;0;0.00128572;0;0;
20220109_140738.1842;819.2309;0;0;0.00128572;0;0;
20220109_140738.2143;849.3106;0;0;0.00128572;0;0;
20220109_140738.2328;867.8603;0;0;0.00128572;0;0;
20220109_140738.2609;895.9363;0;0;0.00128572;0;0;
20220109_140738.2935;928.5217;0;0;0.00128572;0;0;
20220109_140738.3140;949.0761;0;0;0.00128572;0;0;
20220109_140738.3371;972.1301;0;0;0.00128572;0;0;
20220109_140738.3822;1017.2506;0;0;0.00128572;0;0;
20220109_140738.4008;1035.7994;0;0;0.00128572;0;0;
20220109_140738.4339;1068.9162;0;0;0.00128572;0;0;
20220109_140738.4544;1089.4419;0;0;0.00128572;0;0;
20220109_140738.4785;1113.5063;0;0;0.00128572;0;0;
20220109_140738.4985;1133.5606;0;0;0.00128572;0;0;
20220109_140738.5266;1161.6343;0;0;0.00128572;0;0;
20220109_140738.6013;1236.3337;0;0;0.002142851;0;0;
20220109_140738.6367;1271.6979;0;0;0.002142851;0;0;
20220109_140738.6637;1298.77;0;0;0.002142851;0;0;
20220109_140738.6838;1318.8227;0;0;0.002142851;0;0;
20220109_140738.7124;1347.3991;0;0;0.002142851;0;0;
20220109_140738.7460;1381.0286;0;0;0.002142851;0;0;
20220109_140738.7956;1430.6619;0;0;0.002142851;0;0;
20220109_140738.8257;1460.7924;0;0;0.002142851;0;0;
20220109_140738.8555;1490.5113;0;0;0.002142851;0;0;
20220109_140738.8896;1524.6023;0;0;0.002142851;0;0;
20220109_140738.9200;1555.0246;0;0;0.002142851;0;0;
20220109_140738.9506;1585.6074;0;0;0.002142851;0;0;
20220109_140739.0012;1636.2414;0;0;0.002142851;0;0;
20220109_140739.0256;1660.6082;0;0;0.002142851;0;0;
20220109_140739.0612;1696.2465;0;0;0.002142851;0;0;
20220109_140739.0888;1723.8201;0;0;0.002142851;0;0;
20220109_140739.1070;1742.0339;0;0;0.002142851;0;0;
20220109_140739.1361;1771.1736;0;0;0.002142851;0;0;
20220109_140739.1978;1832.8378;0;0;0.002142851;0;0;
20220109_140739.2309;1865.983;0;0;0.002142851;0;0;
20220109_140739.2651;1900.1143;0;0;0.002142851;0;0;
20220109_140739.2902;1925.2125;0;0;0.002142851;0;0;
