System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211216_112041.9484;46.1237;0;0;0.361559;0;0;
20211216_112041.9825;80.2136;0;0;0.361559;0;0;
20211216_112042.0070;104.7801;0;0;0.361559;0;0;
20211216_112042.0256;123.3291;0;0;0.361559;0;0;
20211216_112042.0466;144.3843;0;0;0.361559;0;0;
20211216_112042.1073;205.0457;0;0;0.361559;0;0;
20211216_112042.1349;232.6199;0;0;0.361559;0;0;
20211216_112042.1549;252.6722;0;0;0.361559;0;0;
20211216_112042.1830;280.7472;0;0;0.361559;0;0;
20211216_112042.2000;297.792;0;0;0.361559;0;0;
20211216_112042.2306;328.3734;0;0;0.361559;0;0;
20211216_112042.2632;360.9602;0;0;0.361559;0;0;
20211216_112042.3023;400.064;0;0;0.361559;0;0;
20211216_112042.3224;420.1176;0;0;0.361559;0;0;
20211216_112042.3404;438.1653;0;0;0.361559;0;0;
20211216_112042.3700;467.7445;0;0;0.361559;0;0;
20211216_112042.3886;486.2939;0;0;0.361559;0;0;
20211216_112042.4186;516.3739;0;0;0.361559;0;0;
20211216_112042.4487;546.4532;0;0;0.361559;0;0;
20211216_112042.5069;604.6082;0;0;0.3615594;0;0;
20211216_112042.5440;641.7067;0;0;0.3615594;0;0;
20211216_112042.5715;669.2803;0;0;0.3615594;0;0;
20211216_112042.6067;704.4014;0;0;0.3615594;0;0;
20211216_112042.6392;736.9598;0;0;0.3615594;0;0;
20211216_112042.6653;763.0291;0;0;0.3615594;0;0;
20211216_112042.7094;807.1471;0;0;0.3615594;0;0;
20211216_112042.7305;828.2029;0;0;0.3615594;0;0;
20211216_112042.7605;858.2826;0;0;0.3615594;0;0;
20211216_112042.7936;891.3704;0;0;0.3615594;0;0;
20211216_112042.8257;923.4564;0;0;0.3615594;0;0;
20211216_112042.8558;953.536;0;0;0.3615594;0;0;
20211216_112042.9180;1015.701;0;0;0.3615594;0;0;
20211216_112042.9500;1047.7866;0;0;0.3615594;0;0;
20211216_112042.9782;1075.9408;0;0;0.3615594;0;0;
20211216_112042.9962;1093.9902;0;0;0.3615594;0;0;
20211216_112043.0223;1120.0598;0;0;0.3615594;0;0;
