System Time;Total Milliseconds;Speed;GasPedalPosition;BrakePedalPosition;ClutchPedalPosition;RPM;
20211216_112711.9565;39.6059;0;0;0.35204;0;0;
20211216_112711.9815;64.6717;0;0;0.35204;0;0;
20211216_112712.0091;92.245;0;0;0.35204;0;0;
20211216_112712.0387;121.8235;0;0;0.35204;0;0;
20211216_112712.0567;139.8722;0;0;0.35204;0;0;
20211216_112712.0748;157.9209;0;0;0.35204;0;0;
20211216_112712.1320;215.0795;0;0;0.35204;0;0;
20211216_112712.1495;232.6264;0;0;0.35204;0;0;
20211216_112712.1836;266.7171;0;0;0.35204;0;0;
20211216_112712.2162;299.3041;0;0;0.35204;0;0;
20211216_112712.2473;330.3863;0;0;0.35204;0;0;
20211216_112712.2743;357.4588;0;0;0.35204;0;0;
20211216_112712.3255;408.5966;0;0;0.35204;0;0;
20211216_112712.3515;434.6639;0;0;0.35204;0;0;
20211216_112712.3731;456.2208;0;0;0.3520399;0;0;
20211216_112712.4027;485.827;0;0;0.3520399;0;0;
20211216_112712.4328;515.9125;0;0;0.3520399;0;0;
20211216_112712.4644;547.4923;0;0;0.3520399;0;0;
20211216_112712.5386;621.6899;0;0;0.3520399;0;0;
20211216_112712.5591;642.1883;0;0;0.3520399;0;0;
20211216_112712.5863;669.4124;0;0;0.3520399;0;0;
20211216_112712.6043;687.461;0;0;0.3520399;0;0;
20211216_112712.6244;707.5137;0;0;0.3520399;0;0;
20211216_112712.6535;736.5908;0;0;0.3520399;0;0;
20211216_112712.6815;764.6651;0;0;0.3520399;0;0;
20211216_112712.7267;809.7863;0;0;0.3520399;0;0;
20211216_112712.7447;827.8343;0;0;0.3520399;0;0;
20211216_112712.7769;860.0285;0;0;0.3520399;0;0;
20211216_112712.8047;887.8714;0;0;0.3520399;0;0;
20211216_112712.8242;907.3588;0;0;0.3520399;0;0;
20211216_112712.8415;924.662;0;0;0.3520399;0;0;
20211216_112712.8723;955.4021;0;0;0.3520399;0;0;
20211216_112712.9349;1018.0692;0;0;0.350136;0;0;
20211216_112712.9645;1047.6467;0;0;0.350136;0;0;
20211216_112712.9846;1067.7;0;0;0.350136;0;0;
20211216_112713.0086;1091.7637;0;0;0.350136;0;0;
20211216_112713.0387;1121.844;0;0;0.350136;0;0;
20211216_112713.0588;1141.9403;0;0;0.350136;0;0;
20211216_112713.0918;1174.9138;0;0;0.350136;0;0;
20211216_112713.1395;1222.582;0;0;0.350136;0;0;
20211216_112713.1701;1253.1907;0;0;0.350136;0;0;
20211216_112713.1967;1279.8369;0;0;0.350136;0;0;
20211216_112713.2288;1311.9222;0;0;0.350136;0;0;
