Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P02,0115.05,0115.6,0.5499999999999972,,Vol-up/down,urban,very close to an intersection,,,,,yes,4 very loose swipe ups on the upper side,No
P02,0134.95,0138.25,3.3000000000000114,,forward/backward,urban,very close to an intersection moving slowly ,,,,,yes,sensors on the stw didnt work anymore as their position changed,No
P02,0145.95,0147.0,1.0500000000000114,,others,urban,,,,,,yes,looking at the phone,No
P02,0151.2,0153.8,2.6000000000000227,,Vol-up/down,urban,close to a turn moving slowly,,,,,yes,"looking at the phone for feedback after interaction, 1 loose swipe up on the upper side, also when wanting to lean his head acidentally paused",No
P20,3702.1,3702.85,0.75,,forward/backward,expressway,close to a car on the other lane,,,,,yes,"unsuccessful gesture, double tap with one finger",yes
P20,3705.2,3705.95,0.75,,forward/backward,expressway,close to a front car,,,,,yes,looking at the phone for feedback after interaction,yes
P20,3707.55,3710.75,3.199999999999818,,others,expressway,close to a front car,,,,,yes,looking at the phone; working with the phone,yes
P20,3719.35,3720.3,0.9500000000002728,,Vol-up/down,expressway,close to a front car,,,,,yes,looking at the sensors to locate his hands on them; two swipe ups,yes
P20,3724.15,3724.5,0.34999999999990905,,Vol-up/down,expressway,,,,,,yes,looking at the phone for feedback after interaction,yes
P20,3744.0,3744.0,0.0,,pause/play,expressway,close to a car on the other lane,,,,,no,accidentally paused when leaning his head,yes
P20,3746.0,3746.0,0.0,,pause/play,expressway,close to a car on the other lane,,,,,no,,yes
P20,3801.0,3801.0,0.0,,forward/backward,expressway,very close to a car on the other lane,,,,,no,double tap with one finger,yes
P20,3824.95,3825.6,0.650000000000091,,others,expressway,,,,,,yes,looking at the phone,yes
P20,3840.0,3840.0,0.0,,Vol-up/down,expressway,close to a front car,,,,,no,two swipe ups with one finger,yes
P20,3931.65,3932.55,0.900000000000091,,others,expressway,,,,,,yes,looking at the phone,yes
P20,3937.7,3939.5,1.800000000000182,,others,expressway,close to a car on the other lane,,,,,yes,looking at the phone,yes
P20,3941.0,3941.0,0.0,,forward/backward,expressway,close to a car on the other lane,,,,,no,double tap with one finger,yes
P20,3952.0,3952.0,0.0,,Vol-up/down,expressway,,,,,,no,"two swipe down with one finger, few moments pause, then one complete swipe up and three small swipe ups on the upper side with one finger",yes
P20,4035.0,4035.0,0.0,,Vol-up/down,expressway,,,,,,no,one swipe down with one finger,yes
P20,4104.0,4104.0,0.0,,forward/backward,expressway,close to a car on the other lane,,,,,no,unsuccessful gesture with hold gesture and double tap with one finger for backward function,yes
P20,4110.0,4110.0,0.0,,forward/backward,expressway,close to a car on the other lane,,,,,no,,yes
P20,4124.0,4124.0,0.0,,Vol-up/down,expressway,,,,,,no,three swipe ups with one finger,yes
P20,4124.3,4125.35,1.050000000000182,,others,expressway,,,,,,yes,looking at the sensors on seatbelt after interaction,yes
P20,4325.0,4325.0,0.0,,Vol-up/down,urban,at an intersection,,,,,no,5 swipe ups,yes
P20,4327.55,4328.15,0.5999999999994543,,others,urban,at an intersection,,,,,yes,looking at the sensors on seatbelt after interaction,yes
P20,4349.0,4349.0,0.0,,forward/backward,urban,before turn about to make a turn,,,,,no,"double tap with one finger, unsuccessful gesture",yes
P20,4349.0,4349.0,0.0,,forward/backward,urban,before turn about to make a turn,,,,,no, hold gesture,yes
P20,4349.0,4349.0,0.0,,forward/backward,urban,before turn about to make a turn,,,,,no,hold gesture,yes
P20,4349.0,4349.0,0.0,,forward/backward,urban,before turn about to make a turn,,,,,no,hold gesture,yes
P20,4349.0,4349.0,0.0,,forward/backward,urban,before turn about to make a turn,,,,,no,double tap with one finger ,yes
P20,4416.0,4416.0,0.0,,Vol-up/down,urban,close to a front car,,,,,no,two swipe down with one finger,yes
P20,4423.0,4423.0,0.0,,forward/backward,urban,"car was stopped before turn",,,,,no,hold gesture,yes
P20,4423.0,4423.0,0.0,,forward/backward,urban,"car was stopped before turn",,,,,no,"double tap with one finger, unsuccessful gesture",yes
P20,4423.0,4423.0,0.0,,forward/backward,urban,"car was stopped before turn",,,,,no,hold gesture,yes
P20,4423.0,4423.0,0.0,,forward/backward,urban,"car was stopped before turn",,,,,no,hold gesture,yes
P20,4423.0,4423.0,0.0,,forward/backward,urban,"car was stopped before turn",,,,,no,hold gesture,yes
P20,4423.0,4423.0,0.0,,forward/backward,urban,before turn about to make a turn,,,,,no,double tap with one finger ,yes
P20,4450.0,4450.0,0.0,,Vol-up/down,urban,,,,,,no,three swipe ups with one finger,yes
P20,4452.0,4452.0,0.0,,forward/backward,urban,,,,,,no,hold gesture,yes
P20,4515.1,4515.1,0.0,,Vol-up/down,urban,"car was stopped before an intersection",,,,,no,one swipe down with one finger,yes
P20,4526.0,4526.0,0.0,,forward/backward,urban,close to an intersection,,,,,no,,yes
P20,4528.0,4528.0,0.0,,forward/backward,urban,at an intersection,,,,,no,double tap with one finger,yes
P20,4531.85,4532.7,0.8499999999994543,,others,urban,,,,,,yes,looking at the phone,yes
P20,4533.0,4533.0,0.0,,Vol-up/down,urban,close to an intersection,,,,,no,two swipe ups with one finger,yes
P20,4542.0,4542.0,0.0,,Vol-up/down,urban,,,,,,no,two swipe ups with one finger,yes
P20,4604.0,4604.0,0.0,,forward/backward,urban,,,,,,no,"double tap with one finger, unsuccessful gesture",yes
P20,4604.0,4604.0,0.0,,forward/backward,urban,,,,,,no, hold gesture,yes
P20,4604.0,4604.0,0.0,,forward/backward,urban,,,,,,no,hold gesture,yes
P20,4604.0,4604.0,0.0,,forward/backward,urban,,,,,,no,hold gesture,yes
P20,4605.0,4605.0,0.0,,forward/backward,urban,close to an intersection,,,,,no,hold gesture,yes
P20,4606.0,4606.0,0.0,,Vol-up/down,urban,close to an intersection,,,,,no,two swipe down with one finger,yes
P20,4703.0,4703.0,0.0,,others,urban,,,,,,no,crashed as overtaking the front car,yes
P20,4723.0,4723.0,0.0,,pause/play,urban,at an intersection,,,,,no,,yes
P20,4738.0,4738.0,0.0,,pause/play,urban,close to an intersection,,,,,no,,yes
P20,4859.0,4859.0,0.0,,Vol-up/down,urban,at an intersection,,,,,no,three swipe ups with one finger,yes
