Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P15,2453.3,2454.2,0.8999999999996362,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback while interaction,No
P15,2458.0,2458.9,0.900000000000091,,others,expressway,,,,,,yes,looking at the phone,No
P15,2500.5,2501.0,0.5,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback while interaction,No
P15,2501.5,2502.15,0.650000000000091,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,No
P15,2525.9,2526.15,0.25,,Vol-up/down,expressway,,,,,,yes,looking at the sensors to locate his hand on it before interaction - three swipe up,No
P15,2535.0,2535.0,0.0,,Vol-up/down,expressway,,,,,,No,one swipe up,No
P15,2728.0,2728.0,0.0,,Vol-up/down,urban,,,,,,no,two swipe up,No
P15,2738.0,2738.0,0.0,,forward/backward,urban,,,,,,no,,No
P15,2745.55,2746.1,0.5499999999997272,,forward/backward,urban,,,,,,yes,looking at the phone for feedback after interaction,No
P15,2829.0,2829.0,0.0,,pause/play,urban,,,,,,no,,No
P15,2856.0,2856.0,0.0,,pause/play,urban,,,,,,no,,No
P15,2918.0,2918.0,0.0,,forward/backward,urban,,,,,,no,,No
P15,2937.6,2938.15,0.5500000000001819,,Vol-up/down,urban, close to a turn moving slowly ,,,,,yes,"looking at the phone for feedback after interaction - one swipe down, two swipe up",No
P15,2941.75,2942.35,0.599999999999909,,forward/backward,urban,close to a turn,,,,,yes,looking at the phone for feedback after interaction,No
P15,3010.0,3010.0,0.0,,pause/play,urban,close to a turn,,,,,No,,No
P15,3024.0,3024.0,0.0,,pause/play,urban,,,,,,No,,No
P15,3029.0,3029.0,0.0,,pause/play,urban,,,,,,No,,No
P15,3035.0,3035.0,0.0,,pause/play,urban,"car was stopped before turn",,,,,no,unsuccessful gesture,No
P15,3036.05,3037.0,0.9499999999998181,,pause/play,urban,"car was stopped before turn",,,,,yes,looking at the phone for feedback after interaction ,No
P15,3040.25,3040.25,0.0,,forward/backward,urban,"car was stopped before turn",,,,,no,,No
P15,3040.3,3041.6,1.2999999999997272,,Vol-up/down,urban,"car was stopped before turn",,,,,yes,looking at the phone for feedback before interaction ,No
P15,3042.65,3043.25,0.599999999999909,,Vol-up/down,urban,"car was stopped before turn",,,,,yes,looking at the phone for feedback while interaction - one swipe,No
P15,3049.0,3049.0,0.0,,Vol-up/down,urban,car was stopped before turn,,,,,no,"two swipe down, three swipe up",No
P15,3112.0,3112.0,0.0,,forward/backward,urban,close to a turn,,,,,No,,No
