Participant,From,To,Duration,File,Function,Scenario,Something related to traffic (red lights/moving forward/making turns),RPM,Speed,Brake,eyes off the road (yes or blank /no),Notes (collisions/any others things)
P23,1134.25,1135.5,1.25,,forward/backward,urban,close to a turn,,,,,
p23,1148.5,1148.8,0.2999999999999545,,others,urban,,,,,,looking at phone ( P23 completed half the urban experiment)
P08,4106.0,4106.9,0.8999999999996362,,others,expressway,,,,,,looking at phone
P08,4107.0,4107.75,0.75,,others,expressway,,,,,,looking at phone
P08,4108.0,4109.0,1.0,,volume up/down,expressway,,,,,,
P08,4114.0,4117.15,3.149999999999636,,others,expressway,,,,,,Moving from playlist to play mode
P08,4125.0,4125.6,0.6000000000003638,,volume up/down,expressway,,,,,,
P08,4127.0,4127.6,0.6000000000003638,,volume up/down,expressway,,,,,,
P08,4135.0,4135.7,0.6999999999998181,,others,expressway,,,,,,looking at phone
P08,4140.0,4141.1,1.1000000000003638,,forward/backward,expressway,,,,,,unsuccessful gesture for previous function
P08,4150.0,4151.7,1.699999999999818,,forward/backward,expressway,,,,,,unsuccessful gesture for previous function
P08,4156.0,4156.7,0.6999999999998181,,volume up/down,expressway,,,,,,
P08,4205.0,4206.8,1.800000000000182,,others,expressway,,,,,,
P08,4208.0,4210.6,2.600000000000364,,others,expressway,,,,,,changing the slider
P08,4215.0,4217.1,2.100000000000364,,others,expressway,,,,,,changing the slider
P08,4225.0,4226.7,1.699999999999818,,forward/backward,expressway,,,,,,
P08,4228.0,4229.0,1.0,,others,expressway,,,,,,looking at phone
P08,4230.0,4230.6,0.6000000000003638,,others,expressway,,,,,,looking at phone
P08,4235.0,4236.3,1.300000000000182,,volume up/down,expressway,,,,,,
P08,4237.0,4237.5,0.5,,others,expressway,,,,,,looking at phone for confirmation of the gesture
P08,4238.0,4238.5,0.5,,others,expressway,,,,,,looking at phone
P08,4240.0,4240.7,0.6999999999998181,,others,expressway,,,,,,changing the slider
P08,4241.0,4243.8,2.800000000000182,,others,expressway,very close to a car on the others lane,,,,,
P08,4250.0,4252.1,2.100000000000364,,others,expressway,,,,,,changing the slider
P08,4255.0,4255.6,0.6000000000003638,,others,expressway,,,,,,looking at phone
P08,4257.0,4257.8,0.8000000000001819,,volume up/down,expressway,,,,,,
P08,4302.0,4302.6,0.6000000000003638,,others,expressway,,,,,,looking at phone (hands off the wheel to execute gesture but changed his mind)
P08,4304.0,4306.55,2.550000000000182,,others,expressway,,,,,,changing the slider
P08,4310.0,4310.7,0.6999999999998181,,others,expressway,,,,,,looking at phone (hands off the wheel to execute gesture but changed his mind)
P08,4315.0,4315.7,0.6999999999998181,,forward/backward,expressway,,,,,,unsuccessful gesture for next function
P08,4317.0,4318.4,1.3999999999996362,,forward/backward,expressway,,,,,,
P08,4340.0,4340.6,0.6000000000003638,,others,expressway,,,,,,looking at phone (hands off the wheel to execute gesture but changed his mind)
P08,4343.0,4344.0,1.0,,volume up/down,expressway,,,,,,
P08,4346.0,4346.8,0.8000000000001819,,others,expressway,,,,,,looking at phone
P08,4350.0,4351.1,1.1000000000003638,,forward/backward,expressway,,,,,,
P08,4354.0,4354.5,0.5,,others,expressway,,,,,,looking at phone for confirmation of the gesture
P08,4400.0,4403.0,3.0,,forward/backward,expressway,,,,,,
P08,4407.0,4408.7,1.699999999999818,,forward/backward,expressway,,,,,,
P08,4412.0,4413.2,1.199999999999818,,forward/backward,expressway,,,,,,unsuccessful gesture
P08,4922.0,4922.5,0.5,,others,urban,,,,,,looking at phone
P08,4923.0,4924.3,1.300000000000182,,forward/backward,urban,,,,,,unsuccessful gesture for previous function
P08,4925.0,4925.7,0.6999999999998181,,others,urban,,,,,,looking at phone (hands off the wheel to execute gesture but changed his mind)
P08,4926.0,4926.5,0.5,,others,urban,,,,,,looking at phone (hands off the wheel to execute gesture but changed his mind)
P08,4928.0,4930.5,2.5,,forward/backward,urban,While at intersection,,,,,starting the interaction before turn and conitued until mid of the intersection
P08,4935.0,4935.8,0.8000000000001819,,others,urban,,,,,,looking at phone
P08,4937.0,4937.6,0.6000000000003638,,others,urban,,,,,,looking at phone
P08,4940.0,4940.7,0.6999999999998181,,forward/backward,urban,,,,,,unsuccessful gesture
P08,4943.0,4944.8,1.800000000000182,,forward/backward,urban,,,,,,
P08,5033.0,5033.0,0.0,,,urban,while at intersection,,,,,crashed with a car
P08,5050.0,5050.6,0.6000000000003638,,others,urban,,,,,,looking at phone
P08,5055.0,5057.7,2.699999999999818,,forward/backward,urban,very close to a turn moving slowly ,,,,,
P08,5100.0,5103.7,3.699999999999818,,others,urban,car was stopped before turn,,,,,changing the slider
P08,5200.0,5202.0,2.0,,forward/backward,urban,car was stopped before turn,,,,,
P08,5206.0,5207.2,1.199999999999818,,others,urban,,,,,,changing the slider
P08,5210.0,5210.7,0.6999999999998181,,volume up/down,urban,,,,,,
P08,5220.0,5222.7,2.699999999999818,,volume up/down,urban,car was stopped before an intersection,,,,,
P08,5223.0,5223.7,0.6999999999998181,,volume up/down,urban,,,,,,
P08,5224.0,5224.5,0.5,,others,urban,,,,,,looking at phone (hands off the wheel to execute gesture but changed his mind)
P08,5225.0,5225.7,0.6999999999998181,,others,urban,,,,,,looking at phone (hands off the wheel to execute gesture but changed his mind as he had to move--the red light changed to green)
P08,5226.0,5227.5,1.5,,others,urban,,,,,,changing the slider
P08,5230.0,5232.5,2.5,,others,urban,car was stopped before an intersection,,,,,changing the slider
